id,name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,sideEffect33,sideEffect34,sideEffect35,sideEffect36,sideEffect37,sideEffect38,sideEffect39,sideEffect40,sideEffect41,use0,use1,use2,use3,use4,Chemical Class,Habit Forming,Therapeutic Class,Action Class,descriptions
489,anawin heavy 5mg injection,Bupizuva Heavy 5mg Injection,Bupifix-H Injection,Relicane 5mg Injection,Bupivaine 5mg Injection,Bipivac 5mg Injection,Nausea,Vomiting,Paresthesia (tingling or pricking sensation),Slow heart rate,Decreased blood pressure,High blood pressure,Dizziness,Urinary retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Local anesthesia (Numb tissues in a specific area),,,,,Amide derivative,No,PAIN ANALGESICS,Local anaesthetic (Amides),"A: Anawin Heavy 5mg Injection contains Bupivacaine which is an anesthetic medicine, it works by blocking the nerve impulses which are responsible for the transmission of signals of pain, inflammation and touch.17 Oct 2022"
490,adaple-c gel,Alight Plus Gel 15gm for Acne Treatment,Nayzit Gel,Cutiwel Gel,Nioclean AD Gel,Acnesol A Nano Gel,Skin peeling,Erythema (skin redness),Itching,Dry skin,Burning sensation at the site of application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Acne,,,,,,No,DERMA,,"Adaple-C Gel is a combination of two medicines: Adapalene and Clindamycin, which treats pimples (acne). Adapalene is a form of vitamin A which prevents accumulation of the sebum (skin's natural oil), unblocks the pores and allows natural exfoliation of the outer layers of skin."
491,aravon injection,Carevon 1.5mg Injection,Fraseda 1.5mg Injection,Ezycut 1.5mg Injection,Edarkos 1.5mg Injection,Edinova 1.5mg Injection,Bruise,Walking difficulties,Headache,"Injection site reactions (pain, swelling, redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Amyotrophic lateral sclerosis (ALS),,,,,Pyrazolones Derivative,No,NEURO CNS,Nootropic agent,ARAVON INJECTION contains Edaravone which belongs to group of medicines called Antioxidants. ARAVON INJECTION is used to treat amyotrophic lateral sclerosis (nervous system disease that weakens muscles and impacts physical function) in affected individuals.6 Dec 2022
492,akilos-sp tablet,Octace Plus Tablet,Anzifen SP Tablet,Mitigate SP Tablet,Petace S 100mg/500mg/15mg Tablet,Starnac Plus 100mg/500mg/15mg Tablet,Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,,"Akilos-SP Tablet is a combination of three medicines: Aceclofenac, Paracetamol and Serratiopeptidase. Aceclofenac is a non-steroidal anti-inflammatory drug (NSAID), and Paracetamol is an antipyretic (fever reducer).16 Jan 2024"
493,amlozaar-h tablet,Adblock LH 50mg/5mg/12.5mg Tablet,Resitan Amh Tablet,Amlonis H Tablet,Amlosar H 50mg/5mg/12.5mg Tablet,Tri Losacar Tablet,Ankle swelling,Headache,Dizziness,Tiredness,Palpitations,Sleepiness,Increased blood uric acid,Glucose intolerance,Taste change,"Flushing (sense of warmth in the face, ears, neck and trunk)",Upset stomach,Altered blood lipid level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure),,,,,,No,CARDIAC,,"Amlozaar-H Tablet is a combination of three medicines: Losartan, Amlodipine and Hydrochlorothiazide. Losartan is an angiotensin receptor blocker (ARB) and Amlodipine is a calcium channel blocker (CCB). They work by widening and relaxing the blood vessels, thereby lowering blood pressure.29 Nov 2023"
494,alight plus gel,Nayzit Gel,Cutiwel Gel,Nioclean AD Gel,Acnesol A Nano Gel,Acnicin Gel,Skin peeling,Erythema (skin redness),Itching,Dry skin,Burning sensation at the site of application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Acne,,,,,,No,DERMA,,Alight Plus Gel 15gm for Acne Treatment - 1mg
495,anaspas 25mg injection,Bigspas-D 25mg/25mg Injection,Spasmonorm Injection,,,,Nausea,Vomiting,Heartburn,Stomach pain,Indigestion,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Abdominal cramp,,,,,,No,GASTRO INTESTINAL,,"Anaspas 25mg Injection is a combination of two medicines: Camylofin and Diclofenac which relieve abdominal pain and cramps. Camylofin is an anticholinergic which relaxes the muscles in the stomach and gut (intestine). It stops sudden muscle contractions (spasms), thereby relieving cramps and pain.19 Feb 2024"
496,azibact lr 100 readymix,Infurox 100mg Oral Suspension,Ibithral 100 Rediuse Oral Suspension,Zithro Oral Suspension,Azilide 100 RediMed Oral Suspension,Azikem 100mg/5ml Oral Suspension,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides,"Azibact LR 100 Readymix: View Uses, Side Effects, Price and ... - 1mg"
497,aquazide 25 tablet,Xenia 25mg Tablet,Hydrazide 25 Tablet,Thiazide 25mg Tablet,Bpzide 25mg Tablet,Hydride 25mg Tablet,Headache,Nausea,Altered blood lipid level,Weakness,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Edema,,,,Benzothiadiazines (Thiazides),No,CARDIAC,Low-ceiling Diuretics (Inhibitors of Na+Cl symport),"Aquazide 25 Tablet: View Uses, Side Effects, Price and Substitutes"
498,amlodac 2.5 tablet,Ampine 2.5mg Tablet,Amcard 2.5 Tablet,Amlokind 2.5 Tablet,Amlip 2.5 Tablet,Amlong 2.5 Tablet,Headache,Fatigue,Nausea,Abdominal pain,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),,,,Dihydropyridinecarboxylic acids derivatives,No,CARDIAC,Calcium channel blockers- Dihydropyridines (DHP),"Amlodac 2.5 Tablet 30's contains Amlodipine, a calcium channel blocker that acts by relaxing the blood vessels. This reduces the workload on the heart and makes the heart more efficient at pumping blood throughout the body. Thus, it helps to lower high blood pressure, reducing the chances of heart attack or stroke."
499,amoxclav 500 mg/125 mg tablet,Penciclav 500 mg/125 mg Tablet,Moxikind-CV 625 Tablet,Moxiforce-CV 625 Tablet,Fightox 625 Tablet,Novamox CV 625mg Tablet,Vomiting,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,,No,ANTI INFECTIVES,,The active substances are amoxicillin and clavulanic acid. Each film-coated tablet contains 500 mg amoxicillin (as amoxicillin trihydrate) and 125 mg clavulanic acid (as potassium clavulanate).
500,amplinak opthalmic suspension,Nepacin Eye Drop,Esnac Eye Drop,Nepastar Eye Drop,Micronac PF Eye Drop,Nepcinac Eye Drop,Decreased vision,Foreign body sensation in eyes,Increased intraocular pressure,Watery eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Post-operative eye pain and inflammation,,,,,Benzophenone Derivatives,No,OPHTHAL,NSAID's- Non-Selective COX 1&2 Inhibitors (Topical),AMPLINAK OPHTHALMIC SUSPENSION contains Nepafenac which belongs to the group of medicines called Ophthalmic anti-inflammatory agents. It is used in adults to treat and prevent eye pain and eye inflammation following cataract surgery.9 Nov 2022
501,aplevant 1.5mg pre-filled pen (0.5ml each),,,,,,Nausea,Diarrhea,Vomiting,Stomach pain,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,Glucagon-like Peptide-1 (GLP-1) Analogue,No,ANTI DIABETIC,Insulin Secretogogues: GLP-1 agonists,Aplevant 1.5mg Pre-filled Pen (0.5ml Each) - 1mg
502,ambrodil-xp syrup,Resebron Syrup,Acelast 50mg/5ml Syrup,Acaster 50mg Syrup,Acebrolin 50mg/5ml Syrup,Phyllin-AC 50mg Syrup,Nausea,Headache,Vomiting,Upset stomach,Restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Chronic obstructive pulmonary disease (COPD),,,,,Xanthinic Derivatives,No,RESPIRATORY,Theophylline & its derivatives,"Ambrodil-XP Syrup comprises of theophylline-7 acetate and ambroxol which makes it effective in making the mucus more fluid and clearing the airways easily, thereby making breathing easier.29 Nov 2023"
503,arvast 10 tablet,Fortius 10 Tablet,Unizuva 10mg Tablet,Lipirose 10 Tablet,Consivas 10 Tablet,Jupiros 10 Tablet,Muscle pain,Weakness,Headache,Abdominal pain,Dizziness,Joint pain,Nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of High cholesterol, Prevention of heart attack and stroke,,,,Phenylpyrimidine derivatives,No,CARDIAC,HMG CoA inhibitors (statins),"Arvast 10 Tablet: View Uses, Side Effects, Price and Substitutes | 1mg"
504,ascoril flu drops,Belrin Oral Drops,Tricold Oral Drops,Cinaryl-AF Oral Drops,Alerfri AF Oral Drops,Entimin Oral Drops,Vomiting,Headache,Restlessness,Anxiety,Dizziness,Tremors,Pale skin,High blood pressure,Seizure,Cerebral hemorrhage,Palpitations,Paresthesia (tingling or pricking sensation),Abdominal pain,Allergic reaction,Decreased appetite,Blurred vision,Dry nose,Dry throat,Excitement,Rash,,,,,,,,,,,,,,,,,,,,,,,Treatment of Common cold,,,,,,No,RESPIRATORY,,"Ascoril FLU Drop 15 ml contains Chlorpheniramine and Phenylephrine. Chlorpheniramine is an antiallergic which relieves allergy symptoms like runny nose, watery eyes and sneezing. Phenylephrine is a decongestant that narrows the small blood vessels, relieving the nose's congestion or stuffiness."
505,atharv healthcare minrav 5 minoxidil 5% topical solution,Minoxil 5% Solution,Tinfal Solution,Minoxy 5% Solution,Rootz-M5 Solution,MNX 5 Solution,Itching,Chest pain,Headache,Hypertrichosis (excessive hair growth),Rash,Dermatitis,Hypersensitivity,Weight gain,Fluid retention,Tachycardia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hair loss,,,,,Dialkylarylamines,No,DERMA,Potassium channel opener,Atharv Healthcare Minrav 5 Minoxidil 5% Topical Solution - 1mg
506,amoxyclav oral suspension,Goldclav Oral Suspension,Moxiclip Dry Syrup,Tervis DS Oral Suspension,Bestomax Dry Syrup,Amoxyril-CV Dry Syrup,Nausea,Vomiting,Abdominal pain,Diarrhea,Allergy,Skin rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Resistance Tuberculosis (TB),Treatment of Bacterial infections,,,,,No,ANTI INFECTIVES,,"The active substances are amoxicillin and clavulanic acid. When reconstituted, 5 ml of suspension contain amoxicillin trihydrate equivalent to 400 mg amoxicillin and potassium clavulanate equivalent to 57 mg of clavulanic acid. Excipients: For full list of excipients see 6.1."
507,ata mont 20mg/10mg tablet,Aeromont-B Tablet,Bilamont Tablet,Drownil M Tablet,Maxstine M 20mg/10mg Tablet,Bilkwik M Tablet,Limited data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic conditions,,,,,,No,RESPIRATORY,,"Ata Mont 20mg/10mg Tablet is a combination of two medicines : Bilastine and Montelukast. Bilastine is an anti-allergic medication. It treats allergy symptoms such as itching, swelling, and rashes by blocking the effects of a chemical messenger (histamine) in the body.20 Feb 2024"
508,acimol 100 mg/325 mg tablet,Dolostat PC 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Acenext P 100mg/325mg Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,,"Acimol 100 mg/325 mg Tablet: View Uses, Side Effects, Price ... - 1mg"
509,antidep 25mg tablet,Impramine 25mg Tablet,Eldep 25mg Tablet,Deprid 25mg Tablet,Depranil 25mg Tablet,Kidep 25mg Tablet,Gastrointestinal disturbance,Nervousness,Sleep disorder,Tiredness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Depression, Bed-wetting,,,,Dibenzazepines Derivative,No,NEURO CNS,Tricyclic antidepressants,"Antidep 25mg Tablet: View Uses, Side Effects, Price and Substitutes"
510,artificial tears bp eye drop,AT Plus Artificial Tears,Lacryl Eye Drop,Cmph Eye Drop,Procel 0.3% Eye Drop,Otears 0.3% Eye Drop,Blurred vision,Eye irritation,Eye pain,Eye redness,Foreign body sensation in eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Dry eyes,,,,,Polysaccharide derivatives,No,OPHTHAL,Tear substitues,"Artificial Tears Bp 0.3 % Description

 urning, irritation and discomfort due to dryness of the eye or due to exposure to wind or sun. It contains hydroxypropyl methylcellulose also known as hypromellose as its active ingredient. It helps in restoring the natural moisture of your eyes using natural tears.1 Feb 2024"
511,almox 250 mg tablet dt,Mokcan 250mg Tablet DT,Amurol 250mg Tablet DT,Lupimox 250mg Tablet DT,Moxipil 250mg Tablet DT,Amoxil 250mg Tablet DT,Rash,Vomiting,Allergic reaction,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Aminopenicillins {Penicillins},No,ANTI INFECTIVES,Cell wall active agent -Extended spectrum Penicillin,"Almox 250mg Tablet DT: View Uses, Side Effects, Price and ... - 1mg"
512,azicip 250 tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Zerox 250 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides,"Azicip 250 MG Description

 It contains azithromycin as its active ingredient. This medicine should be taken as directed by the doctor and in doses and duration as prescribed. It can be taken with or without food. Always complete the entire course of the treatment, even if you start feeling better.26 Oct 2023"
513,augpen hs 200 mg/28.5 mg suspension,Moxifide CV 200mg/28.5mg Suspension,AC Duo DS Suspension,Bilclav Duo 200 mg/28.5 mg Suspension,Symbiotik XL Suspension,Zoxil CV 200mg/28.5mg Suspension,Nausea,Vomiting,Abdominal pain,Diarrhea,Allergy,Skin rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Resistance Tuberculosis (TB),Treatment of Bacterial infections,,,,,No,ANTI INFECTIVES,,Augpen HS 200 mg/28.5 mg Suspension - 1mg
514,anfoe 10000iu injection,Ceriton Epo 10000IU Injection,Relipoietin 10000IU Injection,Espogen 10000IU Injection,Wepox 10000IU Injection,Rpo 10000IU Injection,High blood pressure,Nausea,Vomiting,Fever,Rash,Joint pain,Headache,Insomnia (difficulty in sleeping),Chills,Cough,Bone pain,Muscle spasm,Dizziness,Vascular occlusion,Injection site irritation,Stomatitis (Inflammation of the mouth),Weight loss,Decreased white blood cell count (lymphocytes),Increased glucose level in blood,Blood clot in the blood vessels,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anemia due to chronic kidney disease,Treatment of Anemia due to cancer chemotherapy,,,,"Amino Acids, Peptides Analogues",No,BLOOD RELATED,Erythropoiesis-stimulating agent (ESA),Anfoe 10000IU injection contains active components such as Recombinant human erythropoietin alfa/epoetin alfa. It is a medication that belongs to a class of drugs called erythropoiesis-stimulating agents (ESAs).6 Jan 2024
515,acnovate gel,Alight Plus Gel 15gm for Acne Treatment,Nayzit Gel,Cutiwel Gel,Nioclean AD Gel,Acnesol A Nano Gel,Skin peeling,Erythema (skin redness),Itching,Dry skin,Burning sensation at the site of application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Acne,,,,,,No,DERMA,,"Acnovate Gel: View Uses, Side Effects, Price and Substitutes | 1mg"
525,anabel-ct gel,Ulsore Gel,Ulcerfree Gel,Mugel Freshora Gel,Orogard SG Gel,Mosiba Gel,No common side effects seen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Mouth ulcers,,,,,,No,STOMATOLOGICALS,,"Anabel-CT Gel: View Uses, Side Effects, Price and Substitutes | 1mg"
531,actapro tablet,Acosat 100mg Tablet,Dycotiam Tablet,Tocamide Tablet,Acogut Tablet,Acotrust  Tablet,Headache,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Functional dyspepsia,,,,,Salicylamide Derivative,No,GASTRO INTESTINAL,Anticholinesterase-Prokinetic agent ,"ACTAPRO 100MG TABLET contains Acotiamide, which belongs to the group of medicines called Gastro-intestinal agents. It is used in the treatment of functional dyspepsia. Functional dyspepsia is a chronic functional disorder of the upper digestive system that affects sensation and movement.1 Dec 2022"
538,atorlip gold 20 capsule,Avas Gold 75mg/20mg/75mg Capsule,Lipitab Gold 20 Capsule,Atorfit CV Gold 20 Capsule,Lipikind-Plus 20 Capsule,Atorva Gold 20 Capsule,Increased bleeding tendency,Abdominal pain,Indigestion,Bruise,Nosebleeds,Gastrointestinal bleeding,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prevention of Heart attack,,,,,,No,CARDIAC,,"Atorlip Gold 20 Capsule: View Uses, Side Effects, Price and ... - 1mg"
563,azikem 250mg tablet,Azicip 250 Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Zerox 250 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides,"Azikem 250mg Tablet: View Uses, Side Effects, Price and Substitutes"
573,acnetor ad gel,Alight Plus Gel 15gm for Acne Treatment,Nayzit Gel,Cutiwel Gel,Nioclean AD Gel,Acnesol A Nano Gel,Skin peeling,Erythema (skin redness),Itching,Dry skin,Burning sensation at the site of application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Acne,,,,,,No,DERMA,,Product Summary
577,asthakind-dx syrup sugar free,Wytuss-DMR Syrup Mint Sugar Free,Dcrocof-DX Syrup Sugar Free,Broxino-DX Syrup Sugar Free,Imotus D Syrup,Brikuff-DX Syrup,Nausea,Vomiting,Loss of appetite,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,,No,RESPIRATORY,,Product Summary
587,anthocyn-tx tablet,Texavil GH 250mg/50mg Tablet,Gluxi TX 250mg/50mg Tablet,Regnum-TX Tablet,,,Diarrhea,Nausea,Vomiting,Dizziness,Hypotension (low blood pressure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Melasma,,,,,,No,DERMA,,"Anthocyn-TX Tablet is a combination of two medicines : Tranexamic Acid and Glutathione. Tranexamic Acid is an anti-fibrinolytic that reduces the production of melanin (a pigment that gives the skin its color), by altering the activity of some enzymes that aid in melanin synthesis.29 Nov 2023"
589,atocor 10 tablet,Atorast 10mg Tablet,Zivast 10 Tablet,Storvas 10 Tablet,Tonact 10 Tablet,Atorlip 10 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,No,CARDIAC,HMG CoA inhibitors (statins),"Atocor 10 Tablet 15's contains 'Atorvastatin' which works by slowing the production of cholesterol in the body to decrease the amount of cholesterol that may build up on the arteries walls and block blood flow to the heart, brain, and other parts of the body."
595,antiblue 10mg tablet,Relidep 10mg Tablet,Amitone 10mg Tablet,Tryp 10mg Tablet,Amitril 10mg Tablet,Odep 10mg Tablet,Constipation,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing),Weight gain,Aggressive behavior,Nasal congestion (stuffy nose),Sleepiness,Dizziness,Headache,Decreased libido,Nausea,Fatigue,Confusion,Tremors,Speech disorder,Palpitations,Taste change,Paresthesia (tingling or pricking sensation),Abnormality of voluntary movements,Loss of accommodation,Atrioventricular block,Micturition disorders,Erectile dysfunction,Abnormal ECG,Decreased sodium level in blood,,,,,,,,,,,,,,,,,,Treatment of Depression, Neuropathic pain,Treatment of Migraine,,,Dibenzocycloheptenes Derivative,No,NEURO CNS,Tricyclic antidepressants,"Antiblue 10mg Tablet: View Uses, Side Effects, Price and Substitutes"
598,ampiclox 250mg/250mg tablet,Synclox Kid Tablet,Baxin 250 mg/250 mg Tablet,RACLOX-LB 250MG/250MG TABLET,Tobiotic 250mg/250mg Tablet,Carolox Tablet,Allergic reaction,Rash,Stomach pain,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,,No,ANTI INFECTIVES,,"Ampiclox 250mg/250mg Tablet is a combination of two antibiotics: Ampicillin and Cloxacillin. These antibiotics work by preventing the formation of the bacterial protective covering which is essential for the survival of bacteria. Together, they treat your infection effectively.29 Nov 2023"
638,af 300 tablet,Aceflu 300 Tablet,Fluvell 300mg Tablet,Megmazole 300mg Tablet,Xiffung 300mg Tablet,Vilofung 300 Tablet,Headache,Nausea,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azole derivatives {Imidazoles},No,ANTI INFECTIVES,Fungal ergosterol synthesis inhibitor,"AF 300 Tablet: View Uses, Side Effects, Price and Substitutes | 1mg"
655,acecloren tablet,Vetory SP Tablet,Ibugesic ASP Tablet,Acemiz-S Tablet,Dolokind AA Tablet,Anaflam Xps  Tablet,Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,,"Acecloren Tablet contains a combination of three medicine, namely aceclofenac, paracetamol, and serratiopeptidase. Before using the medicine, inform the doctor if you are pregnant, planning a pregnancy or breastfeeding, and about detailed medical history.26 Oct 2023"
